H  1 6562.80A,H  1 4861.32A,H  1 4340.46A,H  1 4101.73A,He 2 1640.41A,He 2 4685.68A,O  1 6300.30A,O  1 6363.78A,O  1 63.1679m,O  1 145.495m,O  2 3726.03A,O  2 3728.81A,O  3 1660.81A,O  3 1666.15A,O  3 4363.21A,O  3 4958.91A,O  3 5006.84A,O  3 51.8004m,O  3 88.3323m,Ne 3 3868.76A,Ne 3 3967.47A,C  2 157.636m,C  3 1906.68A,C  3 1908.73A,C  4 1548.19A,C  4 1550.78A,N  2 6548.05A,N  2 6583.45A,S  2 6716.44A,S  2 6730.82A,S  3 9068.62A,S  3 9530.62A,U,rho,metal,ssp type,age
2.7796,1.0,0.47542,0.26193,0.0049494,0.00058581,0.010488,0.0033502,0.0032842,0.00032078,0.42765,0.63233,0.023004,0.067369,0.044337,0.88676,2.6457,0.29518,0.49076,0.16584,0.050334,0.033938,0.35354,0.24057,0.019829,0.013996,0.051607,0.15213,0.075184,0.052752,0.11616,0.29179,-2.0,1.0,0.002,single,3.0
2.7742,1.0,0.4757,0.26222,0.0052937,0.0006075,0.0080006,0.0025557,0.0024121,0.00023572,0.32635,0.48253,0.029559,0.086564,0.054916,1.0445,3.1164,0.33351,0.55195,0.18914,0.057407,0.025244,0.42361,0.28356,0.039464,0.025777,0.038591,0.11376,0.057041,0.040042,0.1179,0.29616,-1.5,1.0,0.002,single,3.0
2.7692,1.0,0.47594,0.26243,0.005768,0.00064112,0.0062094,0.0019835,0.0018102,0.00017697,0.24852,0.36741,0.035725,0.10462,0.0644,1.1748,3.5051,0.3624,0.59667,0.20879,0.063372,0.018945,0.48394,0.32017,0.063009,0.040512,0.028937,0.085302,0.04396,0.030875,0.11647,0.29258,-1.0,1.0,0.002,single,3.0
2.7641,1.0,0.47621,0.26263,0.0063887,0.0006861,0.0048648,0.001554,0.0013744,0.00013441,0.18681,0.27613,0.041982,0.12295,0.073553,1.2901,3.8491,0.38549,0.63096,0.22679,0.068835,0.014169,0.53998,0.35469,0.085374,0.055578,0.021529,0.063463,0.033986,0.02388,0.11267,0.28303,-0.5,1.0,0.002,single,3.0
2.8124,1.0,0.47342,0.26067,0.0026025,0.00033796,0.066816,0.021344,0.029431,0.0028585,0.70642,1.0255,8.2341e-05,0.00024114,0.00025432,0.0096184,0.028697,0.0055491,0.0086771,0.016834,0.0051095,0.1067,0.019541,0.013372,3.2317e-06,1.9288e-06,0.13303,0.39214,0.31812,0.22622,0.029345,0.073714,-4.0,1.5,0.002,single,3.0
2.8039,1.0,0.47412,0.26074,0.0039547,0.00050637,0.035648,0.011388,0.012995,0.0012632,0.90018,1.3039,0.0011921,0.003491,0.0030545,0.089536,0.26714,0.041598,0.064248,0.047547,0.014431,0.066711,0.071591,0.048776,0.00011269,7.0549e-05,0.13773,0.40599,0.22835,0.16305,0.06023,0.15129,-3.5,1.5,0.002,single,3.0
2.7931,1.0,0.47479,0.26108,0.0044544,0.00055646,0.018237,0.0058257,0.0059211,0.0005759,0.77654,1.124,0.0079088,0.023161,0.017437,0.4168,1.2436,0.1631,0.24976,0.10134,0.030759,0.037948,0.18379,0.12467,0.0019979,0.0013799,0.097679,0.28794,0.13782,0.098619,0.094617,0.23767,-3.0,1.5,0.002,single,3.0
2.7824,1.0,0.47529,0.26166,0.0047711,0.00057625,0.010185,0.0032534,0.0031027,0.00030194,0.47563,0.68846,0.020209,0.059182,0.040022,0.82764,2.4693,0.28731,0.43672,0.15644,0.047482,0.021171,0.32718,0.22052,0.01103,0.0083485,0.054858,0.16171,0.079232,0.056753,0.11691,0.29366,-2.5,1.5,0.002,single,3.0
2.7737,1.0,0.47569,0.26222,0.0051742,0.00060062,0.0066702,0.0021307,0.0019468,0.00018953,0.29344,0.42488,0.031384,0.091911,0.058084,1.0962,3.2707,0.35328,0.53294,0.19548,0.059332,0.01303,0.4473,0.29886,0.033367,0.021767,0.033136,0.097679,0.049786,0.035671,0.12255,0.30783,-2.0,1.5,0.002,single,3.0
2.7668,1.0,0.4761,0.26265,0.0057449,0.00063937,0.0048782,0.0015583,0.0013749,0.00013389,0.19886,0.28802,0.040036,0.11725,0.07093,1.262,3.7654,0.38818,0.58001,0.22135,0.067184,0.0088849,0.53007,0.35104,0.06769,0.043227,0.022321,0.065798,0.034858,0.024979,0.11743,0.29498,-1.5,1.5,0.002,single,3.0
2.7603,1.0,0.47645,0.26292,0.0065834,0.00070283,0.0037601,0.0012011,0.0010274,0.00010004,0.14185,0.20547,0.047603,0.13942,0.08147,1.3839,4.129,0.41097,0.60642,0.24139,0.073266,0.0063788,0.59032,0.38823,0.10042,0.065312,0.015889,0.046837,0.02598,0.01862,0.10862,0.27284,-1.0,1.5,0.002,single,3.0
2.7538,1.0,0.4768,0.26309,0.0077877,0.00079617,0.0029667,0.00094768,0.0007888,7.677e-05,0.10342,0.14981,0.055314,0.16202,0.091606,1.4898,4.4448,0.42866,0.62273,0.25977,0.078845,0.0046735,0.64266,0.42069,0.12465,0.08257,0.011596,0.034182,0.019961,0.014309,0.098589,0.24765,-0.5,1.5,0.002,single,3.0
2.8128,1.0,0.47342,0.26062,0.0026137,0.0003394,0.066563,0.021263,0.028711,0.0027572,0.72685,0.99359,8.4462e-05,0.00024735,0.00026034,0.0097952,0.029225,0.005803,0.0072049,0.017028,0.0051683,0.053154,0.020158,0.01351,3.3386e-06,1.9908e-06,0.1334,0.39324,0.30569,0.23006,0.029643,0.074462,-4.0,2.0,0.002,single,3.0
2.8041,1.0,0.47414,0.2607,0.0039693,0.00050802,0.034877,0.011141,0.012345,0.0011857,0.92752,1.263,0.0012493,0.0036585,0.0031917,0.09297,0.27738,0.044262,0.054194,0.048684,0.014776,0.030979,0.074669,0.049876,0.00011985,7.5037e-05,0.138,0.4068,0.21681,0.16435,0.061292,0.15396,-3.5,2.0,0.002,single,3.0
2.7926,1.0,0.47484,0.26106,0.0044683,0.00055733,0.016782,0.0053608,0.0052403,0.0005034,0.7812,1.0634,0.0086709,0.025393,0.018981,0.44829,1.3375,0.1787,0.21738,0.10618,0.032227,0.016383,0.19697,0.13117,0.0022734,0.0015816,0.094602,0.27887,0.12581,0.095606,0.097476,0.24485,-3.0,2.0,0.002,single,3.0
2.7803,1.0,0.4754,0.26171,0.0048287,0.00057987,0.008194,0.0026175,0.0023785,0.00022853,0.4242,0.57798,0.023506,0.06884,0.045725,0.92079,2.7472,0.32155,0.3878,0.16889,0.05126,0.008019,0.36674,0.24343,0.01375,0.010101,0.046586,0.13733,0.064959,0.049375,0.12159,0.30543,-2.5,2.0,0.002,single,3.0
2.7692,1.0,0.47589,0.26245,0.0053571,0.00061196,0.0045993,0.0014692,0.0012699,0.00012197,0.21332,0.291,0.038229,0.11198,0.068585,1.2386,3.6956,0.39643,0.4704,0.21582,0.065505,0.0041198,0.51969,0.3436,0.048183,0.030251,0.02301,0.06783,0.034565,0.026255,0.12462,0.31303,-2.0,2.0,0.002,single,3.0
2.76,1.0,0.47647,0.26306,0.0062434,0.00067512,0.0030691,0.00098041,0.00081573,7.8268e-05,0.12268,0.16753,0.049915,0.14625,0.084818,1.4253,4.2524,0.43227,0.49981,0.24675,0.074894,0.002434,0.61996,0.40812,0.097124,0.064168,0.013317,0.039257,0.021217,0.016103,0.11106,0.27899,-1.5,2.0,0.002,single,3.0
2.751,1.0,0.47698,0.26341,0.0077129,0.00079163,0.002292,0.00073215,0.00059159,5.6662e-05,0.080981,0.11067,0.060069,0.17608,0.097905,1.5554,4.6406,0.45383,0.50707,0.2701,0.08198,0.0016255,0.68048,0.44619,0.13705,0.090753,0.0088782,0.026171,0.014997,0.011376,0.093367,0.23453,-1.0,2.0,0.002,single,3.0
2.7427,1.0,0.47751,0.2636,0.010089,0.00098426,0.0018037,0.00057619,0.00045532,4.3506e-05,0.057994,0.079301,0.070387,0.20648,0.11056,1.6678,4.9761,0.47046,0.50522,0.29134,0.088428,0.001166,0.72383,0.47311,0.17288,0.11029,0.0064316,0.018959,0.01154,0.008752,0.077409,0.19445,-0.5,2.0,0.002,single,3.0
2.8134,1.0,0.47343,0.26055,0.0026203,0.0003402,0.066811,0.021342,0.02781,0.0025815,0.76799,0.89867,8.6801e-05,0.0002542,0.00026703,0.0099684,0.029742,0.0058347,0.0045076,0.017198,0.0052198,0.022358,0.020701,0.013822,3.4417e-06,2.0487e-06,0.13543,0.39923,0.27458,0.23844,0.030049,0.075482,-4.0,2.5,0.002,single,3.0
2.8045,1.0,0.47415,0.26064,0.0039786,0.00050906,0.034779,0.01111,0.011837,0.0010965,0.97839,1.1362,0.0012889,0.0037745,0.0032876,0.095089,0.28371,0.044627,0.033933,0.049302,0.014964,0.012231,0.076635,0.051024,0.00012437,7.7768e-05,0.13999,0.41266,0.19228,0.16936,0.062192,0.15622,-3.5,2.5,0.002,single,3.0
2.7927,1.0,0.47486,0.26101,0.0044779,0.0005581,0.016343,0.0052207,0.0048793,0.00045144,0.81491,0.94707,0.0091007,0.026652,0.019846,0.46432,1.3853,0.18197,0.13814,0.10847,0.032923,0.0061439,0.20397,0.13541,0.0024204,0.0016862,0.094768,0.27936,0.10955,0.096797,0.099281,0.24939,-3.0,2.5,0.002,single,3.0
